店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
おでんと庭先地鶏 はれ晴れ 川崎東口本店,050-5484-1696,,神奈川県,川崎市川崎区小川町,2-9,2F,https://harehare.net/kawasaki-main-shop/,True
鞍手茶屋 大手町店,050-5487-1632,,東京都,千代田区大手町,1-1-3,大手センタービルB1,,False
焼き鳥と鮮魚の日本酒酒場 八鶴～Hakkaku～ 新橋駅前店,050-5493-1455,,東京都,港区新橋,2-15-9,S-PLAZA弥生Ⅱ4F,,False
梅の花 松井山手店,050-5487-5672,,京都府,京田辺市山手中央,3-2,,,False
蕎麦 酒肴 志向庵,050-5492-8029,,東京都,福生市志茂,68,,,False
小ぼけ 淀屋橋本店,050-5484-9213,,大阪府,大阪市中央区高麗橋,4-5-2,高麗橋ウェストビルB1,,False
酔心 京都駅前店（B1・B2）,050-5488-1697,,京都府,京都市下京区烏丸通り七条下ル東塩小路町,719,SKビルB1・B2（京都タワービル東向い）,http://www.suishin.co.jp/suishin/,False
福山甲羅本店,050-5492-6341,,広島県,福山市南蔵王町,5-1-8,,http://www.kamogata.com/kora/,False
とらふぐ亭 錦糸町店,050-5486-0795,,東京都,墨田区江東橋,3-5-5,,http://www.torafugu.co.jp/,False
わらやき屋 上野御徒町,050-5487-4886,,東京都,台東区上野,1-20-11,上野鈴乃屋本店ビル4F,https://www.dd-holdings.jp/shops/warayakiya/ueno_okachimachi,True
焼き鳥×個室 鳥八 神田店,050-5492-2968,,東京都,千代田区内神田,3-22-9,,,False
個室二次会 Sea Horse天文館 シーホース,050-5486-5603,,鹿児島県,鹿児島市山之口町,11-7,2F,,False
海鮮処 とも吉 京橋店,050-5484-4555,,大阪府,大阪市都島区片町,2-11-4,1F,https://www.tomoyoshi.info/,True
銀波－GINPA－ 新宿東口店,050-5494-5088,,東京都,新宿区新宿,3-37-12,新宿NOWAビル4F,http://www.sunroyalgroup.co.jp/,False
おもてなしとりよし 横浜西口店,050-5486-4571,,神奈川県,横浜市西区北幸,1-1-13,コンフォート178 横浜駅前ビル7F,http://www.sfpdining.jp/,False
音音 上野バンブーガーデン店,050-5485-1560,,東京都,台東区上野公園,1-52,バンブーガーデン2F,https://xn--mckuczay8ld4db0508duvvileoaa.com/,True
鳥吉 守谷東口店,050-5485-8845,,茨城県,守谷市中央,2-16-20,寿壱番館1F,,False
九州 熱中屋 猪名寺 LIVE,050-5485-5392,necchuya-inadera@golden-magic.com,兵庫県,尼崎市猪名寺,2-6-1,猪名寺ニュープラザビル1F,https://www.dd-holdings.jp/shops/necchuya/inadera,True
しゃぶしゃぶ 日本料理 木曽路 北新地店,050-5485-4787,,大阪府,大阪市北区曽根崎新地,1-3-26,ぐらん･ぱれ 2～3F,http://www.kisoji.co.jp/,False
和食麺処サガミ富田林店,050-5494-1633,,大阪府,富田林市若松町,5-1418-3,,,False
もんじゃ風月 月島店,050-5485-0470,,東京都,中央区月島,1-19-4,,https://monjafugetsu-reservation.com/tsukishima/,True
木曽路 南砂店,050-5484-5212,,東京都,江東区南砂,6-3-8,,http://www.kisoji.co.jp/,False
魚匠 銀平 KITTE丸の内店,050-5488-2879,,東京都,千代田区丸の内,2-7-2,JPタワーKITTE6F,https://www.ginpei.shop/ginpei-shop,True
大曽根酒場 ハチ鶏,050-5494-7150,,愛知県,名古屋市北区大曽根,3-13-2,V-HANDSビル2F,,False
木曽路 田無店,050-5486-2895,,東京都,西東京市西原町,1-8,,http://www.kisoji.co.jp/,False
炭火焼鳥 塚田農場 新宿東口駅前店,050-5485-8627,,東京都,新宿区新宿,3-23-2,B1,https://lp.tsukadanojo.jp/yakitori/,True
御影蔵 ～丸ビル～,050-5486-2537,,東京都,千代田区丸ノ内,2-4-1,丸の内ビルディング6Ｆ,http://www.newtokyo.co.jp/,False
くずし割烹 ZUTTO,050-5487-5396,,兵庫県,神戸市垂水区平磯,4-4-16,,,False
鳥元 虎ノ門店,050-5484-3388,,東京都,港区虎ノ門,1-5-14,日土地虎ノ門1丁目ビル,http://www.torigen.jp/,False
木曽路 南千住店,050-5485-0773,,東京都,荒川区南千住,5-6-15,,http://www.kisoji.co.jp/,False
七輪焼鳥 一鳥 西中島店,050-5487-7112,,大阪府,大阪市淀川区西中島,3-14-9,,,False
かんてきや 要,050-5492-5511,,大阪府,大阪市中央区道修町,3-3-4,,,False
魚民 石和店,055-262-4388,,山梨県,笛吹市石和町四日市場,1655,1F,https://www.monteroza.co.jp/shop.html?shop=802518,True
音音 池袋店,050-5484-7260,,東京都,豊島区南池袋,1-19-5,MI PLAZA 5F,https://xn--btww41d9rka.com/,True
完全個室で鮮魚と和牛 和食処 福家‐FUKUYA‐ 新宿南口店,050-5494-6034,,東京都,新宿区西新宿,1-18-5,甲新ビル5F,,False
辻が花 上野店,050-5485-6421,tsujigahana@diamond-dining.com,東京都,台東区上野,1-20-11,上野鈴乃屋本店ビル4F,https://www.dd-holdings.jp/shops/tsujigahana/ueno,True
上本町 和食居酒屋 きらくや五十鈴 ハイハイタウン,050-5484-7010,,大阪府,大阪市天王寺区上本町,6-3-31-B143,上本町ハイハイタウンB1,,False
